Epoch 59/800, D loss: -0.1678776741027832, G loss: -2.842211961746216, Time elapsed: 1008.89803814888s
Epoch 60/800, D loss: -0.14562773704528809, G loss: -2.2726683616638184, Time elapsed: 1025.7503831386566s
Epoch 61/800, D loss: -0.22219085693359375, G loss: -2.8768272399902344, Time elapsed: 1042.1876864433289s
Epoch 62/800, D loss: -0.15115714073181152, G loss: -2.1494152545928955, Time elapsed: 1058.1684770584106s
Epoch 63/800, D loss: -0.13249826431274414, G loss: -2.9491591453552246, Time elapsed: 1075.2382414340973s
Epoch 64/800, D loss: -0.1566476821899414, G loss: -2.2416467666625977, Time elapsed: 1091.2654402256012s
Epoch 65/800, D loss: -0.1468641757965088, G loss: -2.6816458702087402, Time elapsed: 1107.4679148197174s
Epoch 66/800, D loss: -0.15983152389526367, G loss: -2.7566375732421875, Time elapsed: 1124.1453216075897s
Epoch 67/800, D loss: -0.13165318965911865, G loss: -1.5966362953186035, Time elapsed: 1140.3762791156769s
Epoch 68/800, D loss: -0.1378779411315918, G loss: -2.717726230621338, Time elapsed: 1156.5355019569397s
Epoch 69/800, D loss: -0.1511363983154297, G loss: -2.998842239379883, Time elapsed: 1173.3665611743927s
Epoch 70/800, D loss: -0.14907503128051758, G loss: -2.9629135131835938, Time elapsed: 1189.4258093833923s
Epoch 71/800, D loss: -0.1763157844543457, G loss: -2.169116497039795, Time elapsed: 1205.5993831157684s
Epoch 72/800, D loss: -0.117462158203125, G loss: -2.13712215423584, Time elapsed: 1222.3186554908752s
Epoch 73/800, D loss: -0.12618780136108398, G loss: -2.6312222480773926, Time elapsed: 1238.2966711521149s
Epoch 74/800, D loss: -0.14230966567993164, G loss: -2.2118961811065674, Time elapsed: 1254.2210443019867s
Epoch 75/800, D loss: -0.1463794708251953, G loss: -2.5465762615203857, Time elapsed: 1270.6217975616455s
Epoch 76/800, D loss: -0.13992643356323242, G loss: -2.839042901992798, Time elapsed: 1286.476268529892s
Epoch 77/800, D loss: -0.146392822265625, G loss: -2.147305965423584, Time elapsed: 1302.2263579368591s
Epoch 78/800, D loss: -0.12772512435913086, G loss: -2.452484130859375, Time elapsed: 1318.9729330539703s
Epoch 79/800, D loss: -0.17419981956481934, G loss: -2.2062268257141113, Time elapsed: 1335.0010025501251s
Epoch 80/800, D loss: -0.13761353492736816, G loss: -2.1441333293914795, Time elapsed: 1351.2104094028473s
Epoch 81/800, D loss: -0.10960602760314941, G loss: -2.3072056770324707, Time elapsed: 1367.8834018707275s
Epoch 82/800, D loss: -0.11220741271972656, G loss: -2.481299877166748, Time elapsed: 1383.9857585430145s
Epoch 83/800, D loss: -0.09000778198242188, G loss: -2.130993604660034, Time elapsed: 1400.374716758728s
Epoch 84/800, D loss: -0.15523433685302734, G loss: -2.4310035705566406, Time elapsed: 1417.197702407837s
Epoch 85/800, D loss: -0.13070154190063477, G loss: -3.227539539337158, Time elapsed: 1433.2323701381683s
Epoch 86/800, D loss: -0.12886452674865723, G loss: -2.6954500675201416, Time elapsed: 1449.2587521076202s
Epoch 87/800, D loss: -0.1955716609954834, G loss: -2.9478228092193604, Time elapsed: 1465.9207093715668s
Epoch 88/800, D loss: -0.12192821502685547, G loss: -3.0928425788879395, Time elapsed: 1481.7793543338776s
Epoch 89/800, D loss: -0.0664358139038086, G loss: -3.2666330337524414, Time elapsed: 1497.7790319919586s
Epoch 90/800, D loss: -0.10682487487792969, G loss: -3.41416335105896, Time elapsed: 1514.6520256996155s
Epoch 91/800, D loss: -0.09753274917602539, G loss: -3.386397361755371, Time elapsed: 1530.9165482521057s
Epoch 92/800, D loss: -0.11826944351196289, G loss: -3.1133058071136475, Time elapsed: 1547.0334956645966s
Epoch 93/800, D loss: -0.10579991340637207, G loss: -2.8371224403381348, Time elapsed: 1563.860710144043s
Epoch 94/800, D loss: -0.11637616157531738, G loss: -3.15925931930542, Time elapsed: 1580.3360133171082s
Epoch 95/800, D loss: -0.11756277084350586, G loss: -2.550625801086426, Time elapsed: 1596.368455171585s
Epoch 96/800, D loss: -0.12207555770874023, G loss: -2.884316921234131, Time elapsed: 1612.8046765327454s
Epoch 97/800, D loss: -0.1051034927368164, G loss: -2.3287618160247803, Time elapsed: 1628.6230742931366s
Epoch 98/800, D loss: -0.09391593933105469, G loss: -2.529860258102417, Time elapsed: 1644.4305408000946s
Epoch 99/800, D loss: -0.11144900321960449, G loss: -2.6685903072357178, Time elapsed: 1661.0114760398865s
Epoch 100/800, D loss: -0.10052847862243652, G loss: -2.9111738204956055, Time elapsed: 1676.7279109954834s
Epoch 101/800, D loss: -0.1125650405883789, G loss: -2.806974411010742, Time elapsed: 1692.7764139175415s
Epoch 102/800, D loss: -0.1108396053314209, G loss: -2.8503589630126953, Time elapsed: 1709.576733827591s
Epoch 103/800, D loss: -0.12719964981079102, G loss: -3.053539514541626, Time elapsed: 1725.5354900360107s
Epoch 104/800, D loss: -0.11623144149780273, G loss: -3.019956111907959, Time elapsed: 1741.583440542221s
Epoch 105/800, D loss: -0.10059523582458496, G loss: -2.7172417640686035, Time elapsed: 1758.2680568695068s
