Epoch [77/800], Loss_D: 0.6647, Loss_G: 1.5296, Time: 23.34s
Epoch [78/800], Loss_D: 0.9361, Loss_G: 1.4556, Time: 23.73s
Epoch [79/800], Loss_D: 0.6768, Loss_G: 1.8151, Time: 23.16s
Epoch [80/800], Loss_D: 0.5423, Loss_G: 1.8788, Time: 23.78s
Epoch [81/800], Loss_D: 0.7019, Loss_G: 2.1593, Time: 23.16s
Epoch [82/800], Loss_D: 1.0523, Loss_G: 1.7195, Time: 23.07s
Epoch [83/800], Loss_D: 0.8529, Loss_G: 1.7801, Time: 23.12s
Epoch [84/800], Loss_D: 0.6856, Loss_G: 1.6149, Time: 23.17s
Epoch [85/800], Loss_D: 0.9536, Loss_G: 1.3108, Time: 23.04s
Epoch [86/800], Loss_D: 0.6610, Loss_G: 1.4861, Time: 23.29s
Epoch [87/800], Loss_D: 1.1097, Loss_G: 1.5637, Time: 23.00s
Epoch [88/800], Loss_D: 0.5689, Loss_G: 1.8132, Time: 22.78s
Epoch [89/800], Loss_D: 0.6225, Loss_G: 1.8182, Time: 23.96s
Epoch [90/800], Loss_D: 0.8220, Loss_G: 1.6961, Time: 24.42s
Epoch [91/800], Loss_D: 0.5389, Loss_G: 2.4082, Time: 23.28s
Epoch [92/800], Loss_D: 0.4508, Loss_G: 2.3994, Time: 23.32s
Epoch [93/800], Loss_D: 0.7171, Loss_G: 1.9710, Time: 23.33s
Epoch [94/800], Loss_D: 0.5418, Loss_G: 2.1077, Time: 23.26s
Epoch [95/800], Loss_D: 0.9278, Loss_G: 1.0315, Time: 23.15s
Epoch [96/800], Loss_D: 0.8015, Loss_G: 1.5462, Time: 23.25s
Epoch [97/800], Loss_D: 0.8947, Loss_G: 1.0553, Time: 23.32s
Epoch [98/800], Loss_D: 0.8771, Loss_G: 1.1761, Time: 23.20s
Epoch [99/800], Loss_D: 1.2235, Loss_G: 1.1806, Time: 22.97s
Epoch [100/800], Loss_D: 0.8326, Loss_G: 0.6910, Time: 25.26s
Epoch [101/800], Loss_D: 0.9507, Loss_G: 2.0110, Time: 24.54s
Epoch [102/800], Loss_D: 0.5510, Loss_G: 1.4031, Time: 25.11s
Epoch [103/800], Loss_D: 0.8731, Loss_G: 1.8904, Time: 24.43s
Epoch [104/800], Loss_D: 1.3187, Loss_G: 0.8853, Time: 23.99s
Epoch [105/800], Loss_D: 0.5038, Loss_G: 1.7708, Time: 23.67s
Epoch [106/800], Loss_D: 0.5199, Loss_G: 2.0436, Time: 23.48s
Epoch [107/800], Loss_D: 0.8608, Loss_G: 1.8424, Time: 23.54s
Epoch [108/800], Loss_D: 1.0767, Loss_G: 1.2203, Time: 23.14s
Epoch [109/800], Loss_D: 0.8499, Loss_G: 1.8827, Time: 23.40s
Epoch [110/800], Loss_D: 0.8937, Loss_G: 2.3191, Time: 24.43s
Epoch [111/800], Loss_D: 0.7464, Loss_G: 1.7445, Time: 24.18s
Epoch [112/800], Loss_D: 0.5165, Loss_G: 2.0536, Time: 23.51s
Epoch [113/800], Loss_D: 0.4910, Loss_G: 2.1783, Time: 22.77s
Epoch [114/800], Loss_D: 0.6817, Loss_G: 1.9278, Time: 22.81s
Epoch [115/800], Loss_D: 0.4025, Loss_G: 1.8583, Time: 23.12s
Epoch [116/800], Loss_D: 0.5173, Loss_G: 1.6192, Time: 23.22s
Epoch [117/800], Loss_D: 0.4657, Loss_G: 1.5594, Time: 23.21s
Epoch [118/800], Loss_D: 0.7355, Loss_G: 1.0948, Time: 23.06s
Epoch [119/800], Loss_D: 0.4582, Loss_G: 2.1841, Time: 23.09s
Epoch [120/800], Loss_D: 1.4808, Loss_G: 0.9612, Time: 24.01s
Epoch [121/800], Loss_D: 0.6784, Loss_G: 2.3349, Time: 23.86s
Epoch [122/800], Loss_D: 0.9724, Loss_G: 0.9724, Time: 23.07s
Epoch [123/800], Loss_D: 0.5458, Loss_G: 2.4956, Time: 22.97s
Epoch [124/800], Loss_D: 0.4706, Loss_G: 1.6978, Time: 23.03s
Epoch [125/800], Loss_D: 0.7739, Loss_G: 1.8471, Time: 22.80s
Epoch [126/800], Loss_D: 0.4868, Loss_G: 2.1135, Time: 22.94s
Epoch [127/800], Loss_D: 0.3815, Loss_G: 2.2349, Time: 23.02s
Epoch [128/800], Loss_D: 0.7254, Loss_G: 1.2840, Time: 23.09s
Epoch [129/800], Loss_D: 0.6176, Loss_G: 1.9967, Time: 23.13s
Epoch [130/800], Loss_D: 0.3871, Loss_G: 2.5182, Time: 24.27s
Epoch [131/800], Loss_D: 0.6464, Loss_G: 2.1195, Time: 23.27s
Epoch [132/800], Loss_D: 0.8132, Loss_G: 1.6077, Time: 23.85s
Epoch [133/800], Loss_D: 1.1466, Loss_G: 1.4908, Time: 23.23s
